EVENT_DATE|SEASON|EVENT_TYPE|HOME_TEAM|HOME_TEAM_SCORE|AWAY_TEAM|AWAY_TEAM_SCORE|RESULT|EVENT_NUMBER_BY_TYPE
2014-11-01|2014.0|NBA Game|76ers|96.0|Heat|114.0|L|1.0
2014-11-03|2014.0|NBA Game|76ers|93.0|Rockets|104.0|L|2.0
2014-11-05|2014.0|NBA Game|76ers|89.0|Magic|91.0|L|3.0
2014-11-07|2014.0|NBA Game|76ers|115.0|Bulls|118.0|L|4.0
2014-11-19|2014.0|NBA Game|76ers|90.0|Celtics|101.0|L|5.0
2014-11-21|2014.0|NBA Game|76ers|96.0|Suns|122.0|L|6.0
2014-11-24|2014.0|NBA Game|76ers|104.0|Blazers|114.0|L|7.0
2014-11-26|2014.0|NBA Game|76ers|91.0|Nets|99.0|L|8.0
2014-11-29|2014.0|NBA Game|76ers|103.0|Mavericks|110.0|L|9.0
2014-12-01|2014.0|NBA Game|76ers|103.0|Spurs|109.0|L|10.0
2014-12-05|2014.0|NBA Game|76ers|91.0|Thunder|103.0|L|11.0
2014-12-13|2014.0|NBA Game|76ers|115.0|Grizzlies|120.0|L|12.0
2014-12-15|2014.0|NBA Game|76ers|87.0|Celtics|105.0|L|13.0
2014-12-19|2014.0|NBA Game|76ers|91.0|Hornets|109.0|L|14.0
2015-01-05|2014.0|NBA Game|76ers|95.0|Cavaliers|92.0|W|15.0
2015-01-07|2014.0|NBA Game|76ers|77.0|Bucks|97.0|L|16.0
2015-01-10|2014.0|NBA Game|76ers|93.0|Pacers|92.0|W|17.0
2015-01-13|2014.0|NBA Game|76ers|87.0|Hawks|105.0|L|18.0
2015-01-16|2014.0|NBA Game|76ers|96.0|Pelicans|81.0|W|19.0
2015-01-21|2014.0|NBA Game|76ers|91.0|Knicks|98.0|L|20.0
2015-01-23|2014.0|NBA Game|76ers|86.0|Raptors|91.0|L|21.0
2015-01-28|2014.0|NBA Game|76ers|89.0|Pistons|69.0|W|22.0
2015-01-30|2014.0|NBA Game|76ers|103.0|Timberwolves|94.0|W|23.0
2015-02-03|2014.0|NBA Game|76ers|105.0|Nuggets|98.0|W|24.0
2015-02-07|2014.0|NBA Game|76ers|89.0|Hornets|81.0|W|25.0
2015-02-09|2014.0|NBA Game|76ers|84.0|Warriors|89.0|L|26.0
2015-02-20|2014.0|NBA Game|76ers|95.0|Pacers|106.0|L|27.0
2015-02-27|2014.0|NBA Game|76ers|89.0|Wizards|81.0|W|28.0
2015-03-02|2014.0|NBA Game|76ers|103.0|Raptors|114.0|L|29.0
2015-03-06|2014.0|NBA Game|76ers|83.0|Jazz|89.0|L|30.0
2015-03-07|2014.0|NBA Game|76ers|92.0|Hawks|84.0|W|31.0
2015-03-11|2014.0|NBA Game|76ers|95.0|Bulls|104.0|L|32.0
2015-03-13|2014.0|NBA Game|76ers|114.0|Kings|107.0|W|33.0
2015-03-14|2014.0|NBA Game|76ers|87.0|Nets|94.0|L|34.0
2015-03-18|2014.0|NBA Game|76ers|94.0|Pistons|83.0|W|35.0
2015-03-20|2014.0|NBA Game|76ers|97.0|Knicks|81.0|W|36.0
2015-03-27|2014.0|NBA Game|76ers|98.0|Clippers|119.0|L|37.0
2015-03-30|2014.0|NBA Game|76ers|111.0|Lakers|113.0|L|38.0
2015-04-08|2014.0|NBA Game|76ers|90.0|Wizards|119.0|L|39.0
2015-04-13|2014.0|NBA Game|76ers|97.0|Bucks|107.0|L|40.0
2015-04-15|2014.0|NBA Game|76ers|101.0|Heat|105.0|L|41.0
2014-10-08|2014.0|NBA Game - Pre-Season|76ers|106.0|Hornets|92.0|W|1.0
2014-10-14|2014.0|NBA Game - Pre-Season|76ers|77.0|Knicks|84.0|L|2.0
2014-10-16|2014.0|NBA Game - Pre-Season|76ers|91.0|Celtics|111.0|L|3.0
2014-10-18|2014.0|NBA Game - Pre-Season|76ers|95.0|Magic|84.0|W|4.0
2015-10-30|2015.0|NBA Game|76ers|71.0|Jazz|99.0|L|1.0
2015-11-02|2015.0|NBA Game|76ers|100.0|Cavaliers|107.0|L|2.0
2015-11-07|2015.0|NBA Game|76ers|97.0|Magic|105.0|L|3.0
2015-11-09|2015.0|NBA Game|76ers|88.0|Bulls|111.0|L|4.0
2015-11-11|2015.0|NBA Game|76ers|103.0|Raptors|119.0|L|5.0
2015-11-16|2015.0|NBA Game|76ers|86.0|Mavericks|92.0|L|6.0
2015-11-18|2015.0|NBA Game|76ers|85.0|Pacers|112.0|L|7.0
2015-12-01|2015.0|NBA Game|76ers|103.0|Lakers|91.0|W|8.0
2015-12-05|2015.0|NBA Game|76ers|105.0|Nuggets|108.0|L|9.0
2015-12-07|2015.0|NBA Game|76ers|68.0|Spurs|119.0|L|10.0
2015-12-11|2015.0|NBA Game|76ers|95.0|Pistons|107.0|L|11.0
2015-12-18|2015.0|NBA Game|76ers|97.0|Knicks|107.0|L|12.0
2015-12-22|2015.0|NBA Game|76ers|90.0|Grizzlies|104.0|L|13.0
2016-01-04|2015.0|NBA Game|76ers|109.0|Timberwolves|99.0|W|14.0
2016-01-07|2015.0|NBA Game|76ers|98.0|Hawks|126.0|L|15.0
2016-01-09|2015.0|NBA Game|76ers|95.0|Raptors|108.0|L|16.0
2016-01-10|2015.0|NBA Game|76ers|85.0|Cavaliers|95.0|L|17.0
2016-01-14|2015.0|NBA Game|76ers|111.0|Bulls|115.0|L|18.0
2016-01-16|2015.0|NBA Game|76ers|114.0|Blazers|89.0|W|19.0
2016-01-24|2015.0|NBA Game|76ers|92.0|Celtics|112.0|L|20.0
2016-01-26|2015.0|NBA Game|76ers|113.0|Suns|103.0|W|21.0
2016-01-30|2015.0|NBA Game|76ers|105.0|Warriors|108.0|L|22.0
2016-02-03|2015.0|NBA Game|76ers|86.0|Hawks|124.0|L|23.0
2016-02-06|2015.0|NBA Game|76ers|103.0|Nets|98.0|W|24.0
2016-02-08|2015.0|NBA Game|76ers|92.0|Clippers|98.0|L|25.0
2016-02-10|2015.0|NBA Game|76ers|110.0|Kings|114.0|L|26.0
2016-02-23|2015.0|NBA Game|76ers|115.0|Magic|124.0|L|27.0
2016-02-26|2015.0|NBA Game|76ers|94.0|Wizards|103.0|L|28.0
2016-03-02|2015.0|NBA Game|76ers|99.0|Hornets|119.0|L|29.0
2016-03-04|2015.0|NBA Game|76ers|102.0|Heat|112.0|L|30.0
2016-03-09|2015.0|NBA Game|76ers|104.0|Rockets|118.0|L|31.0
2016-03-11|2015.0|NBA Game|76ers|95.0|Nets|89.0|W|32.0
2016-03-12|2015.0|NBA Game|76ers|111.0|Pistons|125.0|L|33.0
2016-03-17|2015.0|NBA Game|76ers|94.0|Wizards|99.0|L|34.0
2016-03-18|2015.0|NBA Game|76ers|97.0|Thunder|111.0|L|35.0
2016-03-20|2015.0|NBA Game|76ers|105.0|Celtics|120.0|L|36.0
2016-03-29|2015.0|NBA Game|76ers|85.0|Hornets|100.0|L|37.0
2016-04-02|2015.0|NBA Game|76ers|102.0|Pacers|115.0|L|38.0
2016-04-05|2015.0|NBA Game|76ers|107.0|Pelicans|93.0|W|39.0
2016-04-08|2015.0|NBA Game|76ers|102.0|Knicks|109.0|L|40.0
2016-04-10|2015.0|NBA Game|76ers|108.0|Bucks|109.0|L|41.0
2015-10-08|2015.0|NBA Game - Pre-Season|76ers|115.0|Cavaliers|114.0|W|1.0
2015-10-10|2015.0|NBA Game - Pre-Season|76ers|97.0|Nets|95.0|W|2.0
2015-10-16|2015.0|NBA Game - Pre-Season|76ers|118.0|Wizards|127.0|L|3.0
2016-10-26|2016.0|NBA Game|76ers|97.0|Thunder|103.0|L|1.0
2016-10-29|2016.0|NBA Game|76ers|72.0|Hawks|104.0|L|2.0
2016-11-01|2016.0|NBA Game|76ers|101.0|Magic|103.0|L|3.0
2016-11-05|2016.0|NBA Game|76ers|101.0|Cavaliers|102.0|L|4.0
2016-11-07|2016.0|NBA Game|76ers|84.0|Jazz|109.0|L|5.0
2016-11-11|2016.0|NBA Game|76ers|109.0|Pacers|105.0|W|6.0
2016-11-16|2016.0|NBA Game|76ers|109.0|Wizards|102.0|W|7.0
2016-11-19|2016.0|NBA Game|76ers|120.0|Suns|105.0|W|8.0
2016-11-21|2016.0|NBA Game|76ers|101.0|Heat|94.0|W|9.0
2016-11-23|2016.0|NBA Game|76ers|99.0|Grizzlies|104.0|L|10.0
2016-11-25|2016.0|NBA Game|76ers|89.0|Bulls|105.0|L|11.0
2016-11-27|2016.0|NBA Game|76ers|108.0|Cavaliers|112.0|L|12.0
2016-12-02|2016.0|NBA Game|76ers|88.0|Magic|105.0|L|13.0
2016-12-03|2016.0|NBA Game|76ers|106.0|Celtics|107.0|L|14.0
2016-12-05|2016.0|NBA Game|76ers|98.0|Nuggets|106.0|L|15.0
2016-12-14|2016.0|NBA Game|76ers|114.0|Raptors|123.0|L|16.0
2016-12-16|2016.0|NBA Game|76ers|89.0|Lakers|100.0|L|17.0
2016-12-18|2016.0|NBA Game|76ers|108.0|Nets|107.0|W|18.0
2016-12-20|2016.0|NBA Game|76ers|93.0|Pelicans|108.0|L|19.0
2017-01-03|2016.0|NBA Game|76ers|93.0|Timberwolves|91.0|W|20.0
2017-01-11|2016.0|NBA Game|76ers|98.0|Knicks|97.0|W|21.0
2017-01-13|2016.0|NBA Game|76ers|102.0|Hornets|93.0|W|22.0
2017-01-18|2016.0|NBA Game|76ers|94.0|Raptors|89.0|W|23.0
2017-01-20|2016.0|NBA Game|76ers|93.0|Blazers|92.0|W|24.0
2017-01-24|2016.0|NBA Game|76ers|121.0|Clippers|110.0|W|25.0
2017-01-27|2016.0|NBA Game|76ers|118.0|Rockets|123.0|L|26.0
2017-01-30|2016.0|NBA Game|76ers|122.0|Kings|119.0|W|27.0
2017-02-08|2016.0|NBA Game|76ers|103.0|Spurs|111.0|L|28.0
2017-02-11|2016.0|NBA Game|76ers|117.0|Heat|109.0|W|29.0
2017-02-24|2016.0|NBA Game|76ers|120.0|Wizards|112.0|W|30.0
2017-02-27|2016.0|NBA Game|76ers|108.0|Warriors|119.0|L|31.0
2017-03-03|2016.0|NBA Game|76ers|105.0|Knicks|102.0|W|32.0
2017-03-04|2016.0|NBA Game|76ers|106.0|Pistons|136.0|L|33.0
2017-03-06|2016.0|NBA Game|76ers|98.0|Bucks|112.0|L|34.0
2017-03-17|2016.0|NBA Game|76ers|116.0|Mavericks|74.0|W|35.0
2017-03-19|2016.0|NBA Game|76ers|105.0|Celtics|99.0|W|36.0
2017-03-29|2016.0|NBA Game|76ers|92.0|Hawks|99.0|L|37.0
2017-04-04|2016.0|NBA Game|76ers|118.0|Nets|141.0|L|38.0
2017-04-06|2016.0|NBA Game|76ers|90.0|Bulls|102.0|L|39.0
2017-04-08|2016.0|NBA Game|76ers|82.0|Bucks|90.0|L|40.0
2017-04-10|2016.0|NBA Game|76ers|111.0|Pacers|120.0|L|41.0
2016-10-04|2016.0|NBA Game - Pre-Season|76ers|92.0|Celtics|89.0|W|1.0
2016-10-06|2016.0|NBA Game - Pre-Season|76ers|119.0|Wizards|125.0|L|2.0
2016-10-15|2016.0|NBA Game - Pre-Season|76ers|76.0|Pistons|97.0|L|3.0
2017-10-20|2017.0|NBA Game|76ers|92.0|Celtics|102.0|L|1.0
2017-10-25|2017.0|NBA Game|76ers|104.0|Rockets|105.0|L|2.0
2017-11-01|2017.0|NBA Game|76ers|119.0|Hawks|109.0|W|3.0
2017-11-03|2017.0|NBA Game|76ers|121.0|Pacers|110.0|W|4.0
2017-11-18|2017.0|NBA Game|76ers|116.0|Warriors|124.0|L|5.0
2017-11-20|2017.0|NBA Game|76ers|107.0|Jazz|86.0|W|6.0
2017-11-22|2017.0|NBA Game|76ers|101.0|Blazers|81.0|W|7.0
2017-11-25|2017.0|NBA Game|76ers|130.0|Magic|111.0|W|8.0
2017-11-27|2017.0|NBA Game|76ers|91.0|Cavaliers|113.0|L|9.0
2017-11-29|2017.0|NBA Game|76ers|118.0|Wizards|113.0|W|10.0
2017-12-02|2017.0|NBA Game|76ers|108.0|Pistons|103.0|W|11.0
2017-12-04|2017.0|NBA Game|76ers|101.0|Suns|115.0|L|12.0
2017-12-07|2017.0|NBA Game|76ers|104.0|Lakers|107.0|L|13.0
2017-12-15|2017.0|NBA Game|76ers|117.0|Thunder|119.0|L|14.0
2017-12-19|2017.0|NBA Game|76ers|95.0|Kings|101.0|L|15.0
2017-12-21|2017.0|NBA Game|76ers|109.0|Raptors|114.0|L|16.0
2018-01-03|2017.0|NBA Game|76ers|112.0|Spurs|106.0|W|17.0
2018-01-05|2017.0|NBA Game|76ers|114.0|Pistons|78.0|W|18.0
2018-01-11|2017.0|NBA Game|76ers|103.0|Celtics|114.0|L|19.0
2017-10-04|2017.0|NBA Game - Pre-Season|76ers|89.0|Grizzlies|110.0|L|1.0
2017-10-06|2017.0|NBA Game - Pre-Season|76ers|102.0|Celtics|110.0|L|2.0
2017-10-13|2017.0|NBA Game - Pre-Season|76ers|119.0|Heat|95.0|W|3.0
2014-10-29|2014.0|NBA Game|Blazers|106.0|Thunder|89.0|W|1.0
2014-11-02|2014.0|NBA Game|Blazers|90.0|Warriors|95.0|L|2.0
2014-11-04|2014.0|NBA Game|Blazers|101.0|Cavaliers|82.0|W|3.0
2014-11-06|2014.0|NBA Game|Blazers|108.0|Mavericks|87.0|W|4.0
2014-11-09|2014.0|NBA Game|Blazers|116.0|Nuggets|100.0|W|5.0
2014-11-11|2014.0|NBA Game|Blazers|102.0|Hornets|100.0|W|6.0
2014-11-15|2014.0|NBA Game|Blazers|97.0|Nets|87.0|W|7.0
2014-11-17|2014.0|NBA Game|Blazers|102.0|Pelicans|93.0|W|8.0
2014-11-21|2014.0|NBA Game|Blazers|105.0|Bulls|87.0|W|9.0
2014-11-28|2014.0|NBA Game|Blazers|99.0|Grizzlies|112.0|L|10.0
2014-11-30|2014.0|NBA Game|Blazers|107.0|Timberwolves|93.0|W|11.0
2014-12-04|2014.0|NBA Game|Blazers|88.0|Pacers|82.0|W|12.0
2014-12-15|2014.0|NBA Game|Blazers|108.0|Spurs|95.0|W|13.0
2014-12-17|2014.0|NBA Game|Blazers|104.0|Bucks|97.0|W|14.0
2014-12-26|2014.0|NBA Game|Blazers|114.0|76ers|93.0|W|15.0
2014-12-28|2014.0|NBA Game|Blazers|101.0|Knicks|79.0|W|16.0
2014-12-30|2014.0|NBA Game|Blazers|102.0|Raptors|97.0|W|17.0
2015-01-03|2014.0|NBA Game|Blazers|107.0|Hawks|115.0|L|18.0
2015-01-05|2014.0|NBA Game|Blazers|98.0|Lakers|94.0|W|19.0
2015-01-08|2014.0|NBA Game|Blazers|99.0|Heat|83.0|W|20.0
2015-01-10|2014.0|NBA Game|Blazers|103.0|Magic|92.0|W|21.0
2015-01-14|2014.0|NBA Game|Blazers|94.0|Clippers|100.0|L|22.0
2015-01-19|2014.0|NBA Game|Blazers|98.0|Kings|94.0|W|23.0
2015-01-22|2014.0|NBA Game|Blazers|89.0|Celtics|90.0|L|24.0
2015-01-24|2014.0|NBA Game|Blazers|103.0|Wizards|96.0|W|25.0
2015-02-03|2014.0|NBA Game|Blazers|103.0|Jazz|102.0|W|26.0
2015-02-05|2014.0|NBA Game|Blazers|108.0|Suns|87.0|W|27.0
2015-02-11|2014.0|NBA Game|Blazers|102.0|Lakers|86.0|W|28.0
2015-02-22|2014.0|NBA Game|Blazers|92.0|Grizzlies|98.0|L|29.0
2015-02-25|2014.0|NBA Game|Blazers|111.0|Spurs|95.0|W|30.0
2015-02-27|2014.0|NBA Game|Blazers|115.0|Thunder|112.0|W|31.0
2015-03-05|2014.0|NBA Game|Blazers|94.0|Mavericks|75.0|W|32.0
2015-03-11|2014.0|NBA Game|Blazers|105.0|Rockets|100.0|W|33.0
2015-03-13|2014.0|NBA Game|Blazers|118.0|Pistons|99.0|W|34.0
2015-03-24|2014.0|NBA Game|Blazers|108.0|Warriors|122.0|L|35.0
2015-03-28|2014.0|NBA Game|Blazers|120.0|Nuggets|114.0|W|36.0
2015-03-30|2014.0|NBA Game|Blazers|109.0|Suns|86.0|W|37.0
2015-04-01|2014.0|NBA Game|Blazers|122.0|Clippers|126.0|L|38.0
2015-04-04|2014.0|NBA Game|Blazers|99.0|Pelicans|90.0|W|39.0
2015-04-08|2014.0|NBA Game|Blazers|116.0|Timberwolves|91.0|W|40.0
2015-04-11|2014.0|NBA Game|Blazers|105.0|Jazz|111.0|L|41.0
2015-04-25|2014.0|NBA Game - Playoffs|Blazers|109.0|Grizzlies|115.0|L|1.0
2015-04-27|2014.0|NBA Game - Playoffs|Blazers|99.0|Grizzlies|92.0|W|2.0
2014-10-09|2014.0|NBA Game - Pre-Season|Blazers|105.0|Jazz|109.0|L|1.0
2014-10-12|2014.0|NBA Game - Pre-Season|Blazers|119.0|Clippers|114.0|W|2.0
2015-10-28|2015.0|NBA Game|Blazers|112.0|Pelicans|94.0|W|1.0
2015-10-31|2015.0|NBA Game|Blazers|90.0|Suns|101.0|L|2.0
2015-11-05|2015.0|NBA Game|Blazers|115.0|Grizzlies|96.0|W|3.0
2015-11-08|2015.0|NBA Game|Blazers|103.0|Pistons|120.0|L|4.0
2015-11-11|2015.0|NBA Game|Blazers|101.0|Spurs|113.0|L|5.0
2015-11-20|2015.0|NBA Game|Blazers|102.0|Clippers|91.0|W|6.0
2015-11-24|2015.0|NBA Game|Blazers|88.0|Bulls|93.0|L|7.0
2015-11-28|2015.0|NBA Game|Blazers|108.0|Lakers|96.0|W|8.0
2015-12-01|2015.0|NBA Game|Blazers|112.0|Mavericks|115.0|L|9.0
2015-12-03|2015.0|NBA Game|Blazers|123.0|Pacers|111.0|W|10.0
2015-12-12|2015.0|NBA Game|Blazers|110.0|Knicks|112.0|L|11.0
2015-12-14|2015.0|NBA Game|Blazers|105.0|Pelicans|101.0|W|12.0
2015-12-26|2015.0|NBA Game|Blazers|105.0|Cavaliers|76.0|W|13.0
2015-12-30|2015.0|NBA Game|Blazers|110.0|Nuggets|103.0|W|14.0
2016-01-04|2015.0|NBA Game|Blazers|78.0|Grizzlies|91.0|L|15.0
2016-01-06|2015.0|NBA Game|Blazers|98.0|Clippers|109.0|L|16.0
2016-01-08|2015.0|NBA Game|Blazers|108.0|Warriors|128.0|L|17.0
2016-01-10|2015.0|NBA Game|Blazers|115.0|Thunder|110.0|W|18.0
2016-01-13|2015.0|NBA Game|Blazers|99.0|Jazz|85.0|W|19.0
2016-01-20|2015.0|NBA Game|Blazers|98.0|Hawks|104.0|L|20.0
2016-01-23|2015.0|NBA Game|Blazers|121.0|Lakers|103.0|W|21.0
2016-01-26|2015.0|NBA Game|Blazers|112.0|Kings|97.0|W|22.0
2016-01-29|2015.0|NBA Game|Blazers|109.0|Hornets|91.0|W|23.0
2016-01-31|2015.0|NBA Game|Blazers|96.0|Timberwolves|93.0|W|24.0
2016-02-02|2015.0|NBA Game|Blazers|107.0|Bucks|95.0|W|25.0
2016-02-04|2015.0|NBA Game|Blazers|103.0|Raptors|110.0|L|26.0
2016-02-10|2015.0|NBA Game|Blazers|116.0|Rockets|103.0|W|27.0
2016-02-19|2015.0|NBA Game|Blazers|137.0|Warriors|105.0|W|28.0
2016-02-21|2015.0|NBA Game|Blazers|115.0|Jazz|111.0|W|29.0
2016-02-23|2015.0|NBA Game|Blazers|112.0|Nets|104.0|W|30.0
2016-02-25|2015.0|NBA Game|Blazers|105.0|Rockets|119.0|L|31.0
2016-03-08|2015.0|NBA Game|Blazers|116.0|Wizards|109.0|W|32.0
2016-03-12|2015.0|NBA Game|Blazers|121.0|Magic|84.0|W|33.0
2016-03-23|2015.0|NBA Game|Blazers|109.0|Mavericks|103.0|W|34.0
2016-03-26|2015.0|NBA Game|Blazers|108.0|76ers|105.0|W|35.0
2016-03-28|2015.0|NBA Game|Blazers|105.0|Kings|93.0|W|36.0
2016-03-31|2015.0|NBA Game|Blazers|116.0|Celtics|109.0|W|37.0
2016-04-02|2015.0|NBA Game|Blazers|110.0|Heat|93.0|W|38.0
2016-04-06|2015.0|NBA Game|Blazers|120.0|Thunder|115.0|W|39.0
2016-04-09|2015.0|NBA Game|Blazers|105.0|Timberwolves|106.0|L|40.0
2016-04-13|2015.0|NBA Game|Blazers|107.0|Nuggets|99.0|W|41.0
2016-04-23|2015.0|NBA Game - Playoffs|Blazers|96.0|Clippers|88.0|W|1.0
2016-04-25|2015.0|NBA Game - Playoffs|Blazers|98.0|Clippers|84.0|W|2.0
2016-04-29|2015.0|NBA Game - Playoffs|Blazers|106.0|Clippers|103.0|W|3.0
2016-05-07|2015.0|NBA Game - Playoffs|Blazers|120.0|Warriors|108.0|W|4.0
2016-05-09|2015.0|NBA Game - Playoffs|Blazers|125.0|Warriors|132.0|L|5.0
2015-10-05|2015.0|NBA Game - Pre-Season|Blazers|105.0|Kings|109.0|L|1.0
2015-10-08|2015.0|NBA Game - Pre-Season|Blazers|118.0|Warriors|101.0|W|2.0
2015-10-18|2015.0|NBA Game - Pre-Season|Blazers|116.0|Jazz|111.0|W|3.0
2016-10-25|2016.0|NBA Game|Blazers|113.0|Jazz|104.0|W|1.0
2016-10-27|2016.0|NBA Game|Blazers|106.0|Clippers|114.0|L|2.0
2016-11-01|2016.0|NBA Game|Blazers|104.0|Warriors|127.0|L|3.0
2016-11-08|2016.0|NBA Game|Blazers|124.0|Suns|121.0|W|4.0
2016-11-11|2016.0|NBA Game|Blazers|122.0|Kings|120.0|W|5.0
2016-11-13|2016.0|NBA Game|Blazers|112.0|Nuggets|105.0|W|6.0
2016-11-15|2016.0|NBA Game|Blazers|88.0|Bulls|113.0|L|7.0
2016-11-25|2016.0|NBA Game|Blazers|119.0|Pelicans|104.0|W|8.0
2016-11-27|2016.0|NBA Game|Blazers|114.0|Rockets|130.0|L|9.0
2016-11-30|2016.0|NBA Game|Blazers|131.0|Pacers|109.0|W|10.0
2016-12-03|2016.0|NBA Game|Blazers|99.0|Heat|92.0|W|11.0
2016-12-13|2016.0|NBA Game|Blazers|114.0|Thunder|95.0|W|12.0
2016-12-21|2016.0|NBA Game|Blazers|95.0|Mavericks|96.0|L|13.0
2016-12-23|2016.0|NBA Game|Blazers|90.0|Spurs|110.0|L|14.0
2016-12-26|2016.0|NBA Game|Blazers|91.0|Raptors|95.0|L|15.0
2016-12-28|2016.0|NBA Game|Blazers|102.0|Kings|89.0|W|16.0
2017-01-05|2016.0|NBA Game|Blazers|118.0|Lakers|109.0|W|17.0
2017-01-08|2016.0|NBA Game|Blazers|124.0|Pistons|125.0|L|18.0
2017-01-11|2016.0|NBA Game|Blazers|102.0|Cavaliers|86.0|W|19.0
2017-01-13|2016.0|NBA Game|Blazers|109.0|Magic|115.0|L|20.0
2017-01-25|2016.0|NBA Game|Blazers|105.0|Lakers|98.0|W|21.0
2017-01-27|2016.0|NBA Game|Blazers|112.0|Grizzlies|109.0|W|22.0
2017-01-29|2016.0|NBA Game|Blazers|111.0|Warriors|113.0|L|23.0
2017-01-31|2016.0|NBA Game|Blazers|115.0|Hornets|98.0|W|24.0
2017-02-03|2016.0|NBA Game|Blazers|104.0|Mavericks|108.0|L|25.0
2017-02-09|2016.0|NBA Game|Blazers|111.0|Celtics|120.0|L|26.0
2017-02-13|2016.0|NBA Game|Blazers|104.0|Hawks|109.0|L|27.0
2017-03-02|2016.0|NBA Game|Blazers|114.0|Thunder|109.0|W|28.0
2017-03-04|2016.0|NBA Game|Blazers|130.0|Nets|116.0|W|29.0
2017-03-09|2016.0|NBA Game|Blazers|114.0|76ers|108.0|W|30.0
2017-03-11|2016.0|NBA Game|Blazers|124.0|Wizards|125.0|L|31.0
2017-03-21|2016.0|NBA Game|Blazers|90.0|Bucks|93.0|L|32.0
2017-03-23|2016.0|NBA Game|Blazers|110.0|Knicks|95.0|W|33.0
2017-03-25|2016.0|NBA Game|Blazers|112.0|Timberwolves|100.0|W|34.0
2017-03-28|2016.0|NBA Game|Blazers|122.0|Nuggets|113.0|W|35.0
2017-03-30|2016.0|NBA Game|Blazers|117.0|Rockets|107.0|W|36.0
2017-04-01|2016.0|NBA Game|Blazers|130.0|Suns|117.0|W|37.0
2017-04-06|2016.0|NBA Game|Blazers|105.0|Timberwolves|98.0|W|38.0
2017-04-08|2016.0|NBA Game|Blazers|101.0|Jazz|86.0|W|39.0
2017-04-10|2016.0|NBA Game|Blazers|99.0|Spurs|98.0|W|40.0
2017-04-12|2016.0|NBA Game|Blazers|100.0|Pelicans|103.0|L|41.0
2017-04-22|2016.0|NBA Game - Playoffs|Blazers|113.0|Warriors|119.0|L|1.0
2017-04-24|2016.0|NBA Game - Playoffs|Blazers|103.0|Warriors|128.0|L|2.0
2016-10-03|2016.0|NBA Game - Pre-Season|Blazers|98.0|Jazz|89.0|W|1.0
2016-10-07|2016.0|NBA Game - Pre-Season|Blazers|115.0|Suns|110.0|W|2.0
2016-10-16|2016.0|NBA Game - Pre-Season|Blazers|97.0|Nuggets|106.0|L|3.0
2017-10-24|2017.0|NBA Game|Blazers|103.0|Pelicans|93.0|W|1.0
2017-10-26|2017.0|NBA Game|Blazers|103.0|Clippers|104.0|L|2.0
2017-10-28|2017.0|NBA Game|Blazers|114.0|Suns|107.0|W|3.0
2017-10-30|2017.0|NBA Game|Blazers|85.0|Raptors|99.0|L|4.0
2017-11-02|2017.0|NBA Game|Blazers|113.0|Lakers|110.0|W|5.0
2017-11-05|2017.0|NBA Game|Blazers|103.0|Thunder|99.0|W|6.0
2017-11-07|2017.0|NBA Game|Blazers|97.0|Grizzlies|98.0|L|7.0
2017-11-10|2017.0|NBA Game|Blazers|97.0|Nets|101.0|L|8.0
2017-11-13|2017.0|NBA Game|Blazers|99.0|Nuggets|82.0|W|9.0
2017-11-15|2017.0|NBA Game|Blazers|99.0|Magic|94.0|W|10.0
2017-11-18|2017.0|NBA Game|Blazers|102.0|Kings|90.0|W|11.0
2017-11-30|2017.0|NBA Game|Blazers|91.0|Bucks|103.0|L|12.0
2017-12-02|2017.0|NBA Game|Blazers|116.0|Pelicans|123.0|L|13.0
2017-12-05|2017.0|NBA Game|Blazers|92.0|Wizards|106.0|L|14.0
2017-12-09|2017.0|NBA Game|Blazers|117.0|Rockets|124.0|L|15.0
2017-12-20|2017.0|NBA Game|Blazers|91.0|Spurs|93.0|L|16.0
2017-12-22|2017.0|NBA Game|Blazers|85.0|Nuggets|102.0|L|17.0
2017-12-28|2017.0|NBA Game|Blazers|114.0|76ers|110.0|W|18.0
2018-01-05|2017.0|NBA Game|Blazers|110.0|Hawks|89.0|W|19.0
2018-01-07|2017.0|NBA Game|Blazers|111.0|Spurs|110.0|W|20.0
2017-10-03|2017.0|NBA Game - Pre-Season|Blazers|112.0|Suns|114.0|L|1.0
2017-10-05|2017.0|NBA Game - Pre-Season|Blazers|106.0|Raptors|101.0|W|2.0
2014-10-31|2014.0|NBA Game|Bucks|93.0|76ers|81.0|W|1.0
2014-11-05|2014.0|NBA Game|Bucks|86.0|Bulls|95.0|L|2.0
2014-11-08|2014.0|NBA Game|Bucks|93.0|Grizzlies|92.0|W|3.0
2014-11-11|2014.0|NBA Game|Bucks|85.0|Thunder|78.0|W|4.0
2014-11-18|2014.0|NBA Game|Bucks|117.0|Knicks|113.0|W|5.0
2014-11-22|2014.0|NBA Game|Bucks|100.0|Wizards|111.0|L|6.0
2014-11-25|2014.0|NBA Game|Bucks|98.0|Pistons|86.0|W|7.0
2014-11-29|2014.0|NBA Game|Bucks|103.0|Rockets|117.0|L|8.0
2014-12-03|2014.0|NBA Game|Bucks|105.0|Mavericks|107.0|L|9.0
2014-12-05|2014.0|NBA Game|Bucks|109.0|Heat|85.0|W|10.0
2014-12-13|2014.0|NBA Game|Bucks|111.0|Clippers|106.0|W|11.0
